RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
43370,11321,PINE TREE DR SE,Local Access,2,267,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,267,0
46820,10838,SE LOVELL ST,Local Access,2,392,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,392,0
42600,6689,SE MILE HILL DR,Minor Arterial,2,738,Urban,738,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,107,NA,4,4,6,NA,NA,1,1,2,2,107,214
42910,13056,JACKSON AVE SE,Minor Arterial,2,585,Urban,585,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,178,NA,3,3,6,NA,NA,1,1,2,2,178,356
42910,13056,JACKSON AVE SE,Minor Arterial,2,585,Urban,585,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,17,NA,3,3,6,NA,NA,1,1,2,2,17,34
43370,2876,PINE TREE DR SE,Local Access,2,245,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,245,0
42710,10384,HIGGINS RD SE,Local Access,2,333,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,333,0
43580,7705,RED SPRUCE DR SE,Local Access,2,125,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,125,0
43370,1228,PINE TREE DR SE,Local Access,2,314,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,314,0
43580,7546,RED SPRUCE DR SE,Local Access,2,247,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,247,0
46790,445,WHITTIER AVE SE,Local Access,2,506,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,506,0
46730,8214,RUSSELL AVE SE,Local Access,2,509,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,509,0
43370,8091,PINE TREE DR SE,Local Access,2,293,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,293,0
43430,6743,CEDAR LN SE,Local Access,2,487,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,487,0
43770,7067,SEQUOIA ST SE,Local Access,2,485,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,485,0
