RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
16770,13769,CHARLOTTE AVE W,Local Access,2,270,Urban,270,15,West Hills STEM Academy,2,West Hills STEM Academy,82,NA,NA,2,2,5,NA,1,1,2,2,82,164
17619,13967,W ARSENAL WAY,Major Collector,2,683,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,683,0
16770,13773,CHARLOTTE AVE W,Local Access,2,269,Urban,269,15,West Hills STEM Academy,2,West Hills STEM Academy,82,NA,NA,2,2,5,NA,1,1,2,2,82,164
16910,6120,S CHARLESTON AVE,Local Access,2,293,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,293,0
16870,5551,S MARION AVE,Local Access,2,285,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,285,0
17090,11821,S CONSTITUTION AVE,Local Access,2,176,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,176,0
16701,13787,W D ST,Local Access,2,669,Urban,669,15,West Hills STEM Academy,2,West Hills STEM Academy,203,NA,NA,2,2,5,NA,1,1,2,2,203,406
16910,9839,S CHARLESTON AVE,Local Access,2,165,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165,0
16520,13760,AUDREY AVE W,Local Access,2,644,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,644,0
16330,13763,S NATIONAL AVE,Major Collector,2,168,Urban,168,15,West Hills STEM Academy,2,West Hills STEM Academy,51,NA,NA,4.5,NA,6,NA,1,0,1,1,51,51
16330,13763,S NATIONAL AVE,Major Collector,2,168,Urban,168,15,West Hills STEM Academy,2,West Hills STEM Academy,9,NA,NA,8,8,6,NA,2,2,4,4,9,36
16380,13764,B ST,Local Access,2,264,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
16445,13755,A ST,Local Access,2,253,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,253,0
16460,13758,MCCALL BLVD W,Local Access,2,127,Urban,127,15,West Hills STEM Academy,2,West Hills STEM Academy,38,NA,NA,1,1,5,NA,1,1,2,2,38,76
17800,1671,BURWELL ST,Local Access,2,296,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,296,0
16350,3689,WEBSTER RD W,Local Access,2,254,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,254,0
