RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
72450,6278,BROCKTON AVE NE,Local Access,1,226,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,226,0
72540,9648,NE FIR ST,Local Access,1,661,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,661,0
72320,5050,NE GENEVA ST,Local Access,1,81,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81,0
72450,3467,BROCKTON AVE NE,Local Access,1,220,Rural,220,15,Suquamish Park & Ride,2,Suquamish Park & Ride,67,NA,3,NA,NA,NA,3,0,5,5,5,67,335
72450,7151,BROCKTON AVE NE,Local Access,1,219,Rural,219,15,Suquamish Park & Ride,2,Suquamish Park & Ride,66,NA,3,NA,NA,NA,3,0,5,5,5,66,330
72450,11692,BROCKTON AVE NE,Local Access,1,430,Rural,430,15,Suquamish Park & Ride,2,Suquamish Park & Ride,131,NA,3,NA,NA,NA,3,0,5,5,5,131,655
71991,11773,DIVISION AVE NE,Local Access,1,221,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,221,0
72320,3883,NE GENEVA ST,Local Access,1,660,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,660,0
72320,9586,NE GENEVA ST,Local Access,1,667,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,667,0
72320,12897,NE GENEVA ST,Local Access,1,241,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,241,0
72320,9788,NE GENEVA ST,Local Access,1,264,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
72320,12750,NE GENEVA ST,Local Access,1,235,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,235,0
73195,4756,NE PEBBLE BEACH DR,Local Access,1,371,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,371,0
73340,12689,NE JAMES ST,Local Access,1,237,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,237,0
72320,6274,NE GENEVA ST,Local Access,1,245,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,245,0
73290,1513,NE UNION ST,Local Access,1,231,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
74864,8775,NE NELSON ST,Local Access,1,628,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,628,0
73295,8813,NE WINFRED ST,Local Access,1,220,Rural,220,15,Suquamish Park & Ride,2,Suquamish Park & Ride,67,NA,NA,1,2,NA,3,1,1,2,2,67,134
73295,614,NE WINFRED ST,Local Access,1,257,Rural,257,15,Suquamish Park & Ride,2,Suquamish Park & Ride,78,NA,NA,1,2,NA,3,1,1,2,2,78,156
73340,11129,NE JAMES ST,Local Access,1,243,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,243,0
72790,8066,HARRIS AVE NE,Local Access,1,632,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,632,0
72790,8717,HARRIS AVE NE,Local Access,1,644,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,644,0
72790,1935,HARRIS AVE NE,Local Access,1,157,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,157,0
