RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,PLAN_AREA,TYPE.1,DATE_ADOPT,BCC_RESOLU,islamird,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
72540,9648,NE FIR ST,Local Access,1,661,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,661,0
72320,5050,NE GENEVA ST,Local Access,1,81,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81,0
72450,3467,BROCKTON AVE NE,Local Access,1,220,Rural,220,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,220,NA,3,NA,NA,NA,3,0,5,5,5,220,1100
72450,7151,BROCKTON AVE NE,Local Access,1,219,Rural,219,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,219,NA,3,NA,NA,NA,3,0,5,5,5,219,1095
72450,11692,BROCKTON AVE NE,Local Access,1,430,Rural,430,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,430,NA,3,NA,NA,NA,3,0,5,5,5,430,2150
71991,11773,DIVISION AVE NE,Local Access,1,221,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,221,0
72320,3883,NE GENEVA ST,Local Access,1,660,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,660,0
72320,9586,NE GENEVA ST,Local Access,1,667,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,667,0
72320,12897,NE GENEVA ST,Local Access,1,241,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,241,0
72320,9788,NE GENEVA ST,Local Access,1,264,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
72320,12750,NE GENEVA ST,Local Access,1,235,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,235,0
73340,12689,NE JAMES ST,Local Access,1,237,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,237,0
72320,6274,NE GENEVA ST,Local Access,1,245,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,245,0
73290,1513,NE UNION ST,Local Access,1,231,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
74864,8775,NE NELSON ST,Local Access,1,628,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,628,0
73295,8813,NE WINFRED ST,Local Access,1,220,Rural,220,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,220,NA,NA,NA,2,NA,3,0,1,1,1,220,220
73295,614,NE WINFRED ST,Local Access,1,257,Rural,257,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,257,NA,NA,NA,2,NA,3,0,1,1,1,257,257
73340,11129,NE JAMES ST,Local Access,1,243,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,243,0
72790,8066,HARRIS AVE NE,Local Access,1,632,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,632,0
72790,8717,HARRIS AVE NE,Local Access,1,644,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,644,0
72790,1935,HARRIS AVE NE,Local Access,1,157,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,157,0
72790,4476,HARRIS AVE NE,Local Access,1,513,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,513,0
72790,5381,HARRIS AVE NE,Local Access,1,365,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,365,0
73190,1593,SOUNDVIEW BLVD NE,Local Access,1,154,Rural,154,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,154,NA,NA,1,1,NA,3,1,1,2,2,154,308
72830,8985,ANGELINE AVE NE,Local Access,1,307,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,307,0
72450,12417,BROCKTON AVE NE,Local Access,1,213,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,213,0
72740,11853,NE CENTER ST,Local Access,1,236,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,236,0
72325,13093,URBAN AVE NE,Local Access,1,221,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,221,0
72740,10462,NE CENTER ST,Local Access,1,241,Rural,241,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,0,NA,NA,3,NA,NA,3,5,0,5,5,0,0
72900,8649,NE CEDAR ST,Local Access,1,657,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,657,0
73240,8332,NE FERN ST,Local Access,1,659,Rural,659,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,659,NA,NA,2,2,NA,3,1,1,2,2,659,1318
72450,8401,BROCKTON AVE NE,Local Access,1,215,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,215,0
72794,8150,NE PARKWAY ST,Local Access,1,183,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,183,0
73070,7718,4TH AVE NE,Local Access,1,638,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,638,0
73130,3391,3RD AVE NE,Local Access,1,637,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,637,0
72740,7407,NE CENTER ST,Local Access,1,653,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,653,0
72325,8277,URBAN AVE NE,Local Access,1,211,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,211,0
72740,11529,NE CENTER ST,Local Access,1,661,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,661,0
72740,12966,NE CENTER ST,Local Access,1,245,Rural,245,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,0,NA,NA,3,NA,NA,3,5,0,5,5,0,0
72740,11314,NE CENTER ST,Local Access,1,122,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,122,0
74800,2939,NE MADISON ST,Local Access,1,659,Rural,659,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,659,NA,NA,2,2,NA,3,1,1,2,2,659,1318
74800,8705,NE MADISON ST,Local Access,1,598,Rural,598,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,598,NA,NA,2,2,NA,3,1,1,2,2,598,1196
72740,2988,NE CENTER ST,Local Access,1,244,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,244,0
74650,20,NE PROSPECT ST,Local Access,1,327,Rural,327,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,6,NA,NA,2,2,NA,3,1,1,2,2,6,12
74650,10566,NE PROSPECT ST,Local Access,1,629,Rural,629,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,183,NA,NA,2,2,NA,3,1,1,2,2,183,366
74840,7099,NE PLUM ST,Local Access,1,660,Rural,660,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,660,NA,NA,2,2,NA,3,1,1,2,2,660,1320
72960,923,NE PINE ST,Local Access,1,662,Rural,662,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,662,NA,NA,NA,2,NA,3,0,1,1,1,662,662
74820,2057,NE MAPLE ST,Local Access,1,609,Rural,609,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,609,NA,NA,2,2,NA,3,1,1,2,2,609,1218
