RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
51660,1453,NE DAWN RD,Local Access,2,646,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,646,0
51660,11206,NE DAWN RD,Local Access,2,239,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,239,0
56261,6378,ST CHARLES LN NE,Local Access,2,52,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,0
56261,900,ST CHARLES LN NE,Local Access,2,133,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,133,0
56261,553,ST CHARLES LN NE,Local Access,2,62,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,62,0
56261,5926,ST CHARLES LN NE,Local Access,2,134,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,134,0
56260,190,NE BENTLEY DR,Local Access,2,514,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,514,0
56260,2056,NE BENTLEY DR,Local Access,2,469,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,469,0
55640,12239,NE FRANKLIN AVE,Local Access,2,631,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,631,0
51665,5245,NE MARRIC CT,Local Access,2,826,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,826,0
56370,3465,NE REGAL CT,Local Access,2,534,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,534,0
56409,4732,NE FAIRGROUNDS RD,Minor Arterial,2,957,Urban,957,15,McWilliams Park & Ride,2,McWilliams Park & Ride,156,NA,NA,5,5,6,NA,1,1,2,2,156,312
56140,7324,NE MCWILLIAMS RD,Minor Arterial,2,1773,Urban,1773,15,McWilliams Park & Ride,2,McWilliams Park & Ride,538,NA,NA,4,4,6,NA,1,1,2,2,538,1076
56140,7324,NE MCWILLIAMS RD,Minor Arterial,2,1773,Urban,1773,15,McWilliams Park & Ride,2,McWilliams Park & Ride,50,NA,NA,4,4,6,NA,1,1,2,2,50,100
56330,3962,CLOVER BLOSSOM LN NE,Local Access,2,190,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,190,0
56330,6981,CLOVER BLOSSOM LN NE,Local Access,2,265,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,265,0
56190,10765,OLD MILITARY RD NE,Major Collector,2,1047,Urban,1047,15,McWilliams Park & Ride,2,McWilliams Park & Ride,55,NA,NA,4,4,6,NA,1,1,2,2,55,110
56130,6549,GRAND PINE LOOP NE,Local Access,2,1530,Urban,1530,15,McWilliams Park & Ride,2,McWilliams Park & Ride,208,NA,3,NA,NA,5,NA,0,1,1,1,208,208
56330,4930,CLOVER BLOSSOM LN NE,Local Access,2,201,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,201,0
56330,5366,CLOVER BLOSSOM LN NE,Local Access,2,227,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,227,0
56330,5625,CLOVER BLOSSOM LN NE,Local Access,2,191,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191,0
51680,7729,NE RIMROCK DR,Local Access,2,861,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,861,0
56261,2334,ST CHARLES LN NE,Local Access,2,50,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0
56190,11569,OLD MILITARY RD NE,Major Collector,2,181,Urban,181,15,McWilliams Park & Ride,2,McWilliams Park & Ride,55,NA,NA,4,4,6,NA,1,1,2,2,55,110
56260,3928,NE BENTLEY DR,Local Access,2,218,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,218,0
56560,3507,NE JOHN CARLSON RD,Major Collector,2,841,Urban,841,15,McWilliams Park & Ride,2,McWilliams Park & Ride,33,NA,NA,5,5,6,NA,1,1,2,2,33,66
56338,5840,NE WINDSOR CT,Local Access,2,273,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,273,0
56240,1472,NE BLOSSOM PL,Local Access,2,375,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,375,0
56330,1409,CLOVER BLOSSOM LN NE,Local Access,2,185,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,185,0
56324,3734,NE ATHENS CT,Local Access,2,179,Urban,179,15,McWilliams Park & Ride,2,McWilliams Park & Ride,22,NA,NA,1,1,5,NA,1,1,2,2,22,44
56320,10242,JOHNSON RD NE,Local Access,2,689,Urban,689,15,McWilliams Park & Ride,2,McWilliams Park & Ride,210,NA,NA,1,1,5,NA,1,1,2,2,210,420
56323,11896,NE ATHENS WAY,Local Access,2,591,Urban,591,15,McWilliams Park & Ride,2,McWilliams Park & Ride,179,NA,NA,1,1,5,NA,1,1,2,2,179,358
56140,9204,NE MCWILLIAMS RD,Minor Arterial,2,970,Urban,970,15,McWilliams Park & Ride,2,McWilliams Park & Ride,4,NA,NA,4,4,6,NA,1,1,2,2,4,8
